a,b,theta,z,status
4.2,8.6,0,0.2,NotYet
7.8,4.4,0,0.2,NotYet
4.2,8.5,5,0.2,NotYet
7.8,4.4,5,0.2,NotYet
4.1,8.5,10,0.2,NotYet
7.7,4.3,10,0.2,NotYet
4.1,8.4,15,0.2,NotYet
7.7,4.5,15,0.2,NotYet
4.0,8.3,20,0.2,NotYet
7.5,4.7,20,0.2,NotYet
4.1,8.1,25,0.2,NotYet
7.4,4.8,25,0.2,NotYet
4.4,7.8,30,0.2,NotYet
7.2,4.9,30,0.2,NotYet
4.6,7.5,35,0.2,NotYet
6.9,5.0,35,0.2,NotYet
4.7,7.1,40,0.2,NotYet
6.7,5.0,40,0.2,NotYet
4.8,6.9,45,0.2,NotYet
7.1,5.0,45,0.2,NotYet
4.8,7.2,50,0.2,NotYet
7.6,4.9,50,0.2,NotYet
4.8,7.5,55,0.2,NotYet
7.9,4.8,55,0.2,NotYet
4.7,7.7,60,0.2,NotYet
8.3,4.6,60,0.2,NotYet
4.6,7.9,65,0.2,NotYet
8.6,4.4,65,0.2,NotYet
4.4,8.1,70,0.2,NotYet
8.8,4.1,70,0.2,NotYet
4.2,8.2,75,0.2,NotYet
8.9,4.0,75,0.2,NotYet
4.2,8.3,80,0.2,NotYet
9.0,4.1,80,0.2,NotYet
4.2,8.3,85,0.2,NotYet
9.1,4.1,85,0.2,NotYet
4.2,8.3,90,0.2,NotYet
9.1,4.1,90,0.2,NotYet
4.2,8.7,0,0.4,NotYet
8.0,4.5,0,0.4,NotYet
4.2,8.7,5,0.4,NotYet
8.0,4.5,5,0.4,NotYet
4.1,8.7,10,0.4,NotYet
7.9,4.5,10,0.4,NotYet
4.1,8.6,15,0.4,NotYet
7.8,4.6,15,0.4,NotYet
4.0,8.5,20,0.4,NotYet
7.7,4.8,20,0.4,NotYet
4.1,8.3,25,0.4,NotYet
7.5,5.0,25,0.4,NotYet
4.4,8.0,30,0.4,NotYet
7.3,5.1,30,0.4,NotYet
4.6,7.7,35,0.4,NotYet
7.1,5.1,35,0.4,NotYet
4.7,7.3,40,0.4,NotYet
6.8,5.1,40,0.4,NotYet
4.8,6.9,45,0.4,NotYet
7.0,5.1,45,0.4,NotYet
4.8,7.2,50,0.4,NotYet
7.4,5.0,50,0.4,NotYet
4.8,7.4,55,0.4,NotYet
7.8,4.9,55,0.4,NotYet
4.7,7.7,60,0.4,NotYet
8.2,4.7,60,0.4,NotYet
4.6,7.9,65,0.4,NotYet
8.5,4.5,65,0.4,NotYet
4.4,8.0,70,0.4,NotYet
8.7,4.3,70,0.4,NotYet
4.2,8.1,75,0.4,NotYet
8.9,3.9,75,0.4,NotYet
4.2,8.2,80,0.4,NotYet
9.0,4.0,80,0.4,NotYet
4.2,8.2,85,0.4,NotYet
9.0,4.0,85,0.4,NotYet
4.2,8.3,90,0.4,NotYet
9.0,4.0,90,0.4,NotYet
4.2,8.9,0,0.6,NotYet
8.1,4.6,0,0.6,NotYet
4.2,8.9,5,0.6,NotYet
8.1,4.5,5,0.6,NotYet
4.1,8.8,10,0.6,NotYet
8.1,4.5,10,0.6,NotYet
4.1,8.7,15,0.6,NotYet
8.0,4.7,15,0.6,NotYet
4.0,8.6,20,0.6,NotYet
7.8,4.8,20,0.6,NotYet
4.1,8.4,25,0.6,NotYet
7.7,5.0,25,0.6,NotYet
4.4,8.2,30,0.6,NotYet
7.4,5.1,30,0.6,NotYet
4.6,7.8,35,0.6,NotYet
7.2,5.2,35,0.6,NotYet
4.7,7.5,40,0.6,NotYet
6.9,5.2,40,0.6,NotYet
4.8,7.0,45,0.6,NotYet
6.9,5.1,45,0.6,NotYet
4.8,7.1,50,0.6,NotYet
7.3,5.1,50,0.6,NotYet
4.8,7.4,55,0.6,NotYet
7.7,4.9,55,0.6,NotYet
4.7,7.6,60,0.6,NotYet
8.1,4.8,60,0.6,NotYet
4.6,7.8,65,0.6,NotYet
8.4,4.6,65,0.6,NotYet
4.4,7.9,70,0.6,NotYet
8.6,4.3,70,0.6,NotYet
4.2,8.1,75,0.6,NotYet
8.8,4.0,75,0.6,NotYet
4.2,8.1,80,0.6,NotYet
8.9,3.8,80,0.6,NotYet
4.2,8.2,85,0.6,NotYet
8.9,3.8,85,0.6,NotYet
4.2,8.2,90,0.6,NotYet
9.0,3.8,90,0.6,NotYet
4.2,9.0,0,0.8,NotYet
8.2,4.5,0,0.8,NotYet
4.2,9.0,5,0.8,NotYet
8.2,4.5,5,0.8,NotYet
4.1,8.9,10,0.8,NotYet
8.2,4.5,10,0.8,NotYet
4.1,8.8,15,0.8,NotYet
8.1,4.6,15,0.8,NotYet
4.0,8.7,20,0.8,NotYet
7.9,4.8,20,0.8,NotYet
4.1,8.5,25,0.8,NotYet
7.8,5.0,25,0.8,NotYet
4.4,8.3,30,0.8,NotYet
7.6,5.1,30,0.8,NotYet
4.6,7.9,35,0.8,NotYet
7.3,5.1,35,0.8,NotYet
4.7,7.6,40,0.8,NotYet
7.0,5.2,40,0.8,NotYet
4.8,7.2,45,0.8,NotYet
6.7,5.1,45,0.8,NotYet
4.8,7.0,50,0.8,NotYet
7.2,5.0,50,0.8,NotYet
4.8,7.2,55,0.8,NotYet
7.6,4.9,55,0.8,NotYet
4.7,7.5,60,0.8,NotYet
7.9,4.8,60,0.8,NotYet
4.6,7.7,65,0.8,NotYet
8.2,4.5,65,0.8,NotYet
4.4,7.8,70,0.8,NotYet
8.5,4.3,70,0.8,NotYet
4.2,7.9,75,0.8,NotYet
8.7,4.0,75,0.8,NotYet
4.2,8.0,80,0.8,NotYet
8.8,3.9,80,0.8,NotYet
4.2,8.0,85,0.8,NotYet
8.8,3.9,85,0.8,NotYet
4.2,8.1,90,0.8,NotYet
8.8,4.0,90,0.8,NotYet
4.2,9.0,0,1.0,NotYet
8.3,4.4,0,1.0,NotYet
4.2,9.0,5,1.0,NotYet
8.3,4.4,5,1.0,NotYet
4.1,9.0,10,1.0,NotYet
8.2,4.4,10,1.0,NotYet
4.1,8.9,15,1.0,NotYet
8.1,4.5,15,1.0,NotYet
4.0,8.8,20,1.0,NotYet
8.0,4.7,20,1.0,NotYet
4.1,8.6,25,1.0,NotYet
7.9,4.9,25,1.0,NotYet
4.4,8.3,30,1.0,NotYet
7.6,5.0,30,1.0,NotYet
4.6,8.0,35,1.0,NotYet
7.4,5.1,35,1.0,NotYet
4.7,7.6,40,1.0,NotYet
7.1,5.1,40,1.0,NotYet
4.8,7.2,45,1.0,NotYet
6.8,5.0,45,1.0,NotYet
4.8,6.8,50,1.0,NotYet
7.0,5.0,50,1.0,NotYet
4.8,7.1,55,1.0,NotYet
7.4,4.8,55,1.0,NotYet
4.7,7.3,60,1.0,NotYet
7.8,4.7,60,1.0,NotYet
4.6,7.5,65,1.0,NotYet
8.1,4.4,65,1.0,NotYet
4.4,7.7,70,1.0,NotYet
8.3,4.2,70,1.0,NotYet
4.2,7.8,75,1.0,NotYet
8.5,4.0,75,1.0,NotYet
4.2,7.8,80,1.0,NotYet
8.6,4.0,80,1.0,NotYet
4.2,7.9,85,1.0,NotYet
8.6,4.1,85,1.0,NotYet
4.2,7.9,90,1.0,NotYet
8.7,4.1,90,1.0,NotYet
4.2,9.1,0,1.2,NotYet
8.3,4.3,0,1.2,NotYet
4.2,9.1,5,1.2,NotYet
8.3,4.3,5,1.2,NotYet
4.1,9.0,10,1.2,NotYet
8.3,4.2,10,1.2,NotYet
4.1,8.9,15,1.2,NotYet
8.2,4.3,15,1.2,NotYet
4.0,8.8,20,1.2,NotYet
8.1,4.5,20,1.2,NotYet
4.1,8.6,25,1.2,NotYet
7.9,4.7,25,1.2,NotYet
4.4,8.4,30,1.2,NotYet
7.7,4.8,30,1.2,NotYet
4.6,8.0,35,1.2,NotYet
7.5,4.9,35,1.2,NotYet
4.7,7.7,40,1.2,NotYet
7.2,4.9,40,1.2,NotYet
4.8,7.3,45,1.2,NotYet
6.9,4.9,45,1.2,NotYet
4.8,6.8,50,1.2,NotYet
6.9,4.8,50,1.2,NotYet
4.8,6.8,55,1.2,NotYet
7.3,4.7,55,1.2,NotYet
4.7,7.1,60,1.2,NotYet
7.7,4.5,60,1.2,NotYet
4.6,7.3,65,1.2,NotYet
7.9,4.2,65,1.2,NotYet
4.4,7.5,70,1.2,NotYet
8.2,4.0,70,1.2,NotYet
4.2,7.6,75,1.2,NotYet
8.3,4.1,75,1.2,NotYet
4.2,7.6,80,1.2,NotYet
8.4,4.1,80,1.2,NotYet
4.2,7.7,85,1.2,NotYet
8.4,4.1,85,1.2,NotYet
4.2,7.7,90,1.2,NotYet
8.4,4.2,90,1.2,NotYet
4.2,9.1,0,1.4,NotYet
8.3,4.3,0,1.4,NotYet
4.2,9.1,5,1.4,NotYet
8.3,4.3,5,1.4,NotYet
4.1,9.0,10,1.4,NotYet
8.2,4.3,10,1.4,NotYet
4.1,8.9,15,1.4,NotYet
8.2,4.4,15,1.4,NotYet
4.0,8.8,20,1.4,NotYet
8.1,4.6,20,1.4,NotYet
4.1,8.6,25,1.4,NotYet
7.9,4.8,25,1.4,NotYet
4.4,8.3,30,1.4,NotYet
7.7,4.9,30,1.4,NotYet
4.6,8.0,35,1.4,NotYet
7.5,4.9,35,1.4,NotYet
4.7,7.7,40,1.4,NotYet
7.2,5.0,40,1.4,NotYet
4.8,7.3,45,1.4,NotYet
6.9,4.9,45,1.4,NotYet
4.8,6.8,50,1.4,NotYet
6.9,4.8,50,1.4,NotYet
4.8,6.9,55,1.4,NotYet
7.3,4.7,55,1.4,NotYet
4.7,7.1,60,1.4,NotYet
7.7,4.5,60,1.4,NotYet
4.6,7.3,65,1.4,NotYet
8.0,4.3,65,1.4,NotYet
4.4,7.5,70,1.4,NotYet
8.2,4.0,70,1.4,NotYet
4.2,7.6,75,1.4,NotYet
8.3,4.1,75,1.4,NotYet
4.2,7.7,80,1.4,NotYet
8.4,4.1,80,1.4,NotYet
4.2,7.7,85,1.4,NotYet
8.5,4.1,85,1.4,NotYet
4.2,7.7,90,1.4,NotYet
8.5,4.2,90,1.4,NotYet
4.2,9.0,0,1.6,NotYet
8.3,4.5,0,1.6,NotYet
4.2,9.0,5,1.6,NotYet
8.2,4.5,5,1.6,NotYet
4.1,9.0,10,1.6,NotYet
8.2,4.4,10,1.6,NotYet
4.1,8.9,15,1.6,NotYet
8.1,4.6,15,1.6,NotYet
4.0,8.8,20,1.6,NotYet
8.0,4.8,20,1.6,NotYet
4.1,8.6,25,1.6,NotYet
7.8,4.9,25,1.6,NotYet
4.4,8.3,30,1.6,NotYet
7.6,5.0,30,1.6,NotYet
4.6,8.0,35,1.6,NotYet
7.4,5.1,35,1.6,NotYet
4.7,7.6,40,1.6,NotYet
7.1,5.1,40,1.6,NotYet
4.8,7.2,45,1.6,NotYet
6.8,5.1,45,1.6,NotYet
4.8,6.8,50,1.6,NotYet
7.1,5.0,50,1.6,NotYet
4.8,7.1,55,1.6,NotYet
7.5,4.9,55,1.6,NotYet
4.7,7.3,60,1.6,NotYet
7.8,4.7,60,1.6,NotYet
4.6,7.5,65,1.6,NotYet
8.1,4.5,65,1.6,NotYet
4.4,7.7,70,1.6,NotYet
8.4,4.2,70,1.6,NotYet
4.2,7.8,75,1.6,NotYet
8.5,4.0,75,1.6,NotYet
4.2,7.9,80,1.6,NotYet
8.6,4.0,80,1.6,NotYet
4.2,7.9,85,1.6,NotYet
8.7,4.1,85,1.6,NotYet
4.2,7.9,90,1.6,NotYet
8.7,4.1,90,1.6,NotYet
