theta,a2,b2,z2,E2,machine_type,status,file_name
0,-0.9,4.4,1.3,-1.0627804289833875,3,Done,C5_theta=0_a2=-0.9_b2=4.4_z2=1.3_2.log
5,-1.3,4.3,1.3,-1.059186051672441,3,Done,C5_theta=5_a2=-1.3_b2=4.3_z2=1.3_2.log
10,-1.3,4.4,1.3,-1.472597797313938,3,Done,C5_theta=10_a2=-1.3_b2=4.4_z2=1.3_2.log
15,-1.3,4.4,1.3,-1.48822593386285,3,Done,C5_theta=15_a2=-1.3_b2=4.4_z2=1.3_2.log
20,-1.4,4.4,1.3,-1.5428262064961018,3,Done,C5_theta=20_a2=-1.4_b2=4.4_z2=1.3_2.log
25,-1.6,4.3,1.3,-1.4817261852731465,3,Done,C5_theta=25_a2=-1.6_b2=4.3_z2=1.3_2.log
30,-1.9,4.1,1.3,-1.283086639799876,3,Done,C5_theta=30_a2=-1.9_b2=4.1_z2=1.3_2.log
35,-2.3,4.0,1.3,-1.53108674941177,3,Done,C5_theta=35_a2=-2.3_b2=4.0_z2=1.3_2.log
40,2.2,3.8,1.3,-2.585791124671232,3,Done,C5_theta=40_a2=2.2_b2=3.8_z2=1.3_2.log
45,2.0,3.6,1.3,-3.1742743952636374,3,Done,C5_theta=45_a2=2.0_b2=3.6_z2=1.3_2.log
50,1.8,3.4,1.3,-3.471232835086994,3,Done,C5_theta=50_a2=1.8_b2=3.4_z2=1.3_2.log
55,1.7,3.4,1.3,-3.533865235673148,3,Done,C5_theta=55_a2=1.7_b2=3.4_z2=1.3_2.log
60,1.4,3.5,1.3,-3.491454972347128,3,Done,C5_theta=60_a2=1.4_b2=3.5_z2=1.3_2.log
65,1.2,3.6,1.3,-3.546563528027036,3,Done,C5_theta=65_a2=1.2_b2=3.6_z2=1.3_2.log
70,1.0,3.7,1.3,-3.5771232650149614,3,Done,C5_theta=70_a2=1.0_b2=3.7_z2=1.3_2.log
75,0.7,3.7,1.3,-3.5159328823938267,3,Done,C5_theta=75_a2=0.7_b2=3.7_z2=1.3_2.log
80,0.0,3.8,1.3,-3.497198571320041,3,Done,C5_theta=80_a2=0.0_b2=3.8_z2=1.3_2.log
85,-0.4,3.7,1.3,-3.253269119100878,3,Done,C5_theta=85_a2=-0.4_b2=3.7_z2=1.3_2.log
90,-0.6,3.7,1.3,-3.422428244826733,3,Done,C5_theta=90_a2=-0.6_b2=3.7_z2=1.3_2.log
