theta,a1,z1,E1,machine_type,status,file_name
0,4.2,0.0,-2.941631965339184,2,Done,C5_theta=0_a1=4.2_z1=0.0_1.log
5,4.2,0.0,-2.980092053214321,1,Done,C5_theta=5_a1=4.2_z1=0.0_1.log
10,4.1,0.0,-3.1766062223905465,2,Done,C5_theta=10_a1=4.1_z1=0.0_1.log
15,4.1,0.0,-3.298689547911636,2,Done,C5_theta=15_a1=4.1_z1=0.0_1.log
20,4.0,0.0,-3.288903529464733,1,Done,C5_theta=20_a1=4.0_z1=0.0_1.log
25,4.1,0.0,-3.083938683164888,1,Done,C5_theta=25_a1=4.1_z1=0.0_1.log
30,4.4,0.0,-2.598039492353564,2,Done,C5_theta=30_a1=4.4_z1=0.0_1.log
35,4.6,0.0,-2.161114319518674,2,Done,C5_theta=35_a1=4.6_z1=0.0_1.log
40,4.7,0.0,-1.9053155156143475,2,Done,C5_theta=40_a1=4.7_z1=0.0_1.log
45,4.8,0.0,-1.7354661288845818,1,Done,C5_theta=45_a1=4.8_z1=0.0_1.log
50,4.8,0.0,-1.6823210519651184,2,Done,C5_theta=50_a1=4.8_z1=0.0_1.log
55,4.8,0.0,-1.6969062668649713,2,Done,C5_theta=55_a1=4.8_z1=0.0_1.log
60,4.7,0.0,-1.7528117603214923,2,Done,C5_theta=60_a1=4.7_z1=0.0_1.log
65,4.6,0.0,-1.8274139142013155,2,Done,C5_theta=65_a1=4.6_z1=0.0_1.log
70,4.5,0.0,-1.8956117009511213,1,Done,C5_theta=70_a1=4.5_z1=0.0_1.log
75,4.3,0.0,-1.5582071040844312,2,Done,C5_theta=75_a1=4.3_z1=0.0_1.log
80,4.2,0.0,-1.237112119590165,2,Done,C5_theta=80_a1=4.2_z1=0.0_1.log
85,4.2,0.0,-1.326964649008005,2,Done,C5_theta=85_a1=4.2_z1=0.0_1.log
90,4.2,0.0,-1.3440172332775546,2,Done,C5_theta=90_a1=4.2_z1=0.0_1.log
0,3.8,1.3,-3.5544425435946323,1,Done,C5_theta=0_a1=3.8_z1=1.3_1.log
5,3.8,1.3,-3.557567543408368,1,Done,C5_theta=5_a1=3.8_z1=1.3_1.log
10,3.8,1.3,-3.497198571320041,1,Done,C5_theta=10_a1=3.8_z1=1.3_1.log
15,4.0,1.3,-3.3401522711646976,1,Done,C5_theta=15_a1=4.0_z1=1.3_1.log
20,4.3,1.3,-2.747516139424988,1,Done,C5_theta=20_a1=4.3_z1=1.3_1.log
25,4.6,1.3,-2.117143438808853,1,Done,C5_theta=25_a1=4.6_z1=1.3_1.log
30,4.8,1.3,-1.741003904651734,2,Done,C5_theta=30_a1=4.8_z1=1.3_1.log
35,5.0,1.3,-1.4484217195567908,1,Done,C5_theta=35_a1=5.0_z1=1.3_1.log
40,5.1,1.3,-1.3145048104197483,2,Done,C5_theta=40_a1=5.1_z1=1.3_1.log
45,5.2,1.3,-1.218082878884161,1,Done,C5_theta=45_a1=5.2_z1=1.3_1.log
50,5.2,1.3,-1.2216716085531516,1,Done,C5_theta=50_a1=5.2_z1=1.3_1.log
55,5.2,1.3,-1.2479573749587871,2,Done,C5_theta=55_a1=5.2_z1=1.3_1.log
60,5.1,1.3,-1.348916831339011,2,Done,C5_theta=60_a1=5.1_z1=1.3_1.log
65,5.0,1.3,-1.4549289982533082,2,Done,C5_theta=65_a1=5.0_z1=1.3_1.log
70,4.9,1.3,-1.5510597652028082,2,Done,C5_theta=70_a1=4.9_z1=1.3_1.log
75,4.7,1.3,-1.5407529134245124,1,Done,C5_theta=75_a1=4.7_z1=1.3_1.log
80,4.5,1.3,-1.1459631545876618,2,Done,C5_theta=80_a1=4.5_z1=1.3_1.log
85,4.6,1.3,-1.505077087393147,2,Done,C5_theta=85_a1=4.6_z1=1.3_1.log
90,4.6,1.3,-1.5131330607837299,2,Done,C5_theta=90_a1=4.6_z1=1.3_1.log
