z,Et1,Ep1,Et4
0.0,-18.24548076011706,-13.876034503569826,-18.245443109539337
0.1,-18.24138311983552,-13.85252797906287,-18.241345469024964
0.2,-18.24231810949277,-13.787662270478904,-18.2422741841292
0.3,-18.248649685294367,-13.685045559657738,-18.248605759930797
0.4,-18.26049079920631,-13.550645467825234,-18.260446873377077
0.5,-18.27693156118039,-13.391885438235477,-18.27690018573776
0.6,-18.296177292824723,-13.218272246187553,-18.29613964247983
0.7,-18.315931307617575,-13.039959004614502,-18.315887381788343
0.8,-18.33397849521134,-12.867763985646889,-18.33393456938211
0.9,-18.34840495046228,-12.711074738763273,-18.348367299651727
1.0,-18.358062329236418,-12.578437950229272,-18.358018403640017
1.1,-18.36044059204869,-12.475846339948475,-18.360402941238135
1.2,-18.352119809715077,-12.407121444819495,-18.352075883885846
1.3,-18.33094134705607,-12.374534850241616,-18.33089114620816
1.4,-18.296359270927496,-12.378544639563188,-18.296315345098265
1.5,-18.249521924299188,-12.417582036694512,-18.249477998702787
1.6,-18.193460181122646,-12.489099351456389,-18.193409980274737
1.7,-18.13136179128196,-12.588791864924133,-18.131311590434052
1.8,-18.065027709468268,-12.710051897447556,-18.064990058657713
1.9,-17.996127111138776,-12.843987631611526,-17.996076910290867
2.0,-17.926548802526668,-12.980471056886017,-17.92649860167876
2.1,-17.85857691941783,-13.109261209145188,-17.858520443551242
2.2,-17.794853279017843,-13.220838762354106,-17.794803078169934
2.3,-17.737128633772954,-13.307240614201874,-17.73707215790637
2.4,-17.685616338043474,-13.361946936231107,-17.685566137195565
2.5,-17.639983810833655,-13.380427105817944,-17.63992733496707
2.6,-17.600293803494424,-13.360076955985278,-17.6002310521435
2.7,-17.566759668989107,-13.300865112571046,-17.566690642852336
2.8,-17.53968888754025,-13.204900008160621,-17.539626136422157
2.9,-17.51921323593706,-13.076549112796783,-17.519150485051796
3.0,-17.504793056170456,-12.921855347929522,-17.50473030540161
3.1,-17.49537413113285,-12.7485935613513,-17.495305105345324
3.2,-17.4890864812769,-12.565454768249765,-17.48901117988862
3.3,-17.48354556807317,-12.3826673803851,-17.483463991666213
3.4,-17.4764609800186,-12.209298917325214,-17.476379403611645
3.5,-17.466866352013312,-12.054140794789419,-17.466791050857864
3.6,-17.453312136000022,-11.924691756954417,-17.453230559593067
3.7,-17.43276745872572,-11.826386040309444,-17.432679607067257
3.8,-17.40238969947677,-11.761765060480684,-17.402301848051138
3.9,-17.360622633830644,-11.73195206047967,-17.360534782288596
4.0,-17.30738468526397,-11.736256779171526,-17.307296834187582
